symbol,timestamp,event_type,meta,price_change_5m,volume_spike_5m,price_change_15m,volume_spike_15m,heat_index,macd_bullish_5m,macd_bullish_15m,rsi_15m,rsi_5m,alert_sent,alert_type,rejected,signal_score,context,hour,meta_reason,meta_gain,meta_drop,momentum_hour
LIGHTUSDT,2025-12-01 06:35:35.610340+00:00,momentum_end,"{'reason': 'timeout', 'time_since_last': 22.294795066666666, 'timeout_limit': 20, 'current_price': 1.1297, 'total_gain_percent': -0.13260254596888763}",,,,,,,,,,False,,,,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,timeout,-0.13260254596888763,,6
BTCUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.029757684108241044,0.24234899654592304,0.020572759574175363,0.3005328607138803,0.2,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
ETHUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.01522927136790152,0.5071262256129819,-0.04389100871448127,0.40007918185722313,0.2,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
SOLUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.04750593824228209,0.22825422297634504,0.07127583749109323,0.35238688442109367,0.4,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
WIFUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.08852168781350457,0.6084400224666876,0.20716188221368273,0.86059523230593,1.1,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
SUIUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.0292034752135472,0.27698463561504294,0.02191380569758707,0.4070430668295795,0.2,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
WLFIUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.0,0.11307965529564593,0.0,0.371127821517507,0.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AVNTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
XPLUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.053763440860209136,0.6344882348783047,-0.10746910263298118,0.7302915642065867,0.6,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
KAITOUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
